Sample,Agrostis ,Alnus ,Alopecurus,Anthoxanthum,Apiaceae,Araucaria,Arrhenatherum,Asteraceae,Avena,Betula,Brassica,Brassicaceae,Cannabaceae,Chamerion,Chenopodiaceae,Echium ,Erica ,Eucalyptus,Fabaceae,Festuca,Festuca/Lolium,Hordeum,Hydrangea ,Juncus,Juniperus,Lolium,Lotus ,Mercurialis ,Myrtaceae,Oleaceae,Onagraceae,Pinus,Poa,Poaceae,Prunus ,Quercus,Ranunculus,Rubus,Rumex,Salix,Scrophularia,Solanaceae,Solanum,Sonchus ,Tilia,Trifolium,Unknown,Urticaceae,Vicia,Acer,Aesculus,Anthriscus,Holcus,Plantago,Urtica,Cynosurus,Dactylis,Castanea,Deschampsia,Fagus,Sambucus,Impatiens,Filipendula,Hedera,Calluna,Juglans,Secale
NEXT-TSHT-1,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,1717,0,0,0,0,0,0,12,578,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2476,29,1361,6,6,0,0,0,7,5,0,0,0,0,0
NEXT-TSHT-10,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1788,0,0,5,0,0,55,27,834,0,0,0,48,0,0,0,0,0,0,0,0,0,0,26,0,0,0,195,217,4823,0,0,1066,0,0,0,0,0,0,0,0,0
NEXT-TSHT-11,0,0,0,0,0,96,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,1003,124,178,0,88,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,14,0,27,201,0,0,0,0,0,0,0,0,0,0,0,0
NEXT-TSHT-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3354,0,0,0,0,0,0,0,0,0,71,0,0
NEXT-TSHT-14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2001,0,0,0,0,0,744,11,4143,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,5,6722,0,5,102,0,0,0,0,0,0,0,0,0
NEXT-TSHT-15,0,0,30,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,576,0,0,0,0,0,0,17,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4292,5,633,0,6,0,0,0,7,0,0,0,0,0,0
NEXT-TSHT-16,0,0,403,45,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,602,11,5,0,0,6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,1304,0,0,0,0,0,0,0,0,0,0,0,6
NEXT-TSHT-18,0,0,0,0,0,9,0,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,25,0,6,1560,0,0,0,0,0,0,39,73,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,32,3407,0,0,0,0,0,0,58,0,0,0,0,0
NEXT-TSHT-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,133,0,0,0,0,0,0,0,0,0,0,0,0
NEXT-TSHT-2,0,0,68,0,0,0,74,0,0,0,0,0,0,0,0,0,0,2876,0,0,0,5,0,20,0,7636,0,0,0,0,0,0,20,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,0,202,5,0,0,0,0,0,0,0,0,0,0,0
