	NEXT-TSHT-1	NEXT-TSHT-10	NEXT-TSHT-11	NEXT-TSHT-13	NEXT-TSHT-14	NEXT-TSHT-15	NEXT-TSHT-16	NEXT-TSHT-18	NEXT-TSHT-19	NEXT-TSHT-2	NEXT-TSHT-21	NEXT-TSHT-23	NEXT-TSHT-25	NEXT-TSHT-26	NEXT-TSHT-27	NEXT-TSHT-28	NEXT-TSHT-29	NEXT-TSHT-3	NEXT-TSHT-30	NEXT-TSHT-31	NEXT-TSHT-32	NEXT-TSHT-33	NEXT-TSHT-34	NEXT-TSHT-35	NEXT-TSHT-37	NEXT-TSHT-38	NEXT-TSHT-39	NEXT-TSHT-40	NEXT-TSHT-41	NEXT-TSHT-42	NEXT-TSHT-43	NEXT-TSHT-45	NEXT-TSHT-46	NEXT-TSHT-49	NEXT-TSHT-5	NEXT-TSHT-50	NEXT-TSHT-51	NEXT-TSHT-52	NEXT-TSHT-53	NEXT-TSHT-54	NEXT-TSHT-55	NEXT-TSHT-56	NEXT-TSHT-57	NEXT-TSHT-58	NEXT-TSHT-59	NEXT-TSHT-6	NEXT-TSHT-64	NEXT-TSHT-65	NEXT-TSHT-67	NEXT-TSHT-68	NEXT-TSHT-69	NEXT-TSHT-7	NEXT-TSHT-71	NEXT-TSHT-73	NEXT-TSHT-74	NEXT-TSHT-75	NEXT-TSHT-76	NEXT-TSHT-78	NEXT-TSHT-79	NEXT-TSHT-8	NEXT-TSHT-80	NEXT-TSHT-81	NEXT-TSHT-82	NEXT-TSHT-83	NEXT-TSHT-85	NEXT-TSHT-86	NEXT-TSHT-87	NEXT-TSHT-88	NEXT-TSHT-89	NEXT-TSHT-9	NEXT-TSHT-90	NEXT-TSHT-91	NEXT-TSHT-92	NEXT-TSHT-93	NEXT-TSHT-94	NEXT-TSHT-95
1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	20	0	0	0	0	30	403	0	0	68	0	0	470	0	221	17	0	0	0	5	1020	0	0	8	375	0	188	14	0	628	0	0	492	0	0	0	102	396	0	23	0	0	0	0	165	11	0	0	69	297	0	63	0	57	0	0	44	0	0	0	67	0	0	14	0	0	980	0	0	0	9	5	0	78	45	0
4	0	0	0	0	0	0	45	0	0	0	6	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	29	0	15	0	0	0	0	0	48	148	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	5	5	14	0	0	0	0	0	0	7
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	96	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	14	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	113	0	0	0	10	0	0
7	0	0	0	0	0	31	0	0	0	74	0	0	0	0	0	56	0	0	0	0	5	0	0	0	6	0	28	0	0	0	0	0	282	0	0	0	0	5	184	0	0	96	0	0	0	0	0	0	196	0	0	34	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	87	106	0
8	0	23	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	25	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	11	0	0	0	0	7	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	0	0
