Sample,Well Position,Index,Site,Week,part,Timing,Timepoint,Date,Month,Latitude,Longitude,number-unique-sequences-its2-nonsingle,Day,Mean.pollen.count,total.pollen.count,Mean.proportion.max,Total.proportion.max
NEXT-TSHT-50,E02,BNG_w1_p1,BNG,w1,p1,w1_p1,1,25/05/2016,May,53.23,-4.13,336,3,61.66666667,185,0.243741765,0.243741765
NEXT-TSHT-30,C06,BNG_w1_p2,BNG,w1,p2,w1_p2,2,29/05/2016,May,53.23,-4.13,320,6,27,54,0.106719368,0.071146245
NEXT-TSHT-51,E03,BNG_w2_p1,BNG,w2,p1,w2_p1,3,08/06/2016,June,53.23,-4.13,467,16,NA,NA,NA,NA
NEXT-TSHT-87,H03,BNG_w2_p2,BNG,w2,p2,w2_p2,4,18/06/2016,June,53.23,-4.13,818,26,NA,NA,NA,NA
NEXT-TSHT-27,C03,BNG_w3_p1,BNG,w3,p1,w3_p1,5,24/06/2016,June,53.23,-4.13,1137,32,NA,NA,NA,NA
NEXT-TSHT-54,E06,BNG_w3_p2,BNG,w3,p2,w3_p2,6,27/06/2016,June,53.23,-4.13,512,35,NA,NA,NA,NA
NEXT-TSHT-2,A02,BNG_w4_p1,BNG,w4,p1,w4_p1,7,08/07/2016,July,53.23,-4.13,2138,47,35.33333333,106,0.139657444,0.139657444
NEXT-TSHT-91,H07,BNG_w4_p2,BNG,w4,p2,w4_p2,8,11/07/2016,July,53.23,-4.13,1485,50,18.33333333,55,0.072463768,0.072463768
NEXT-TSHT-45,D09,BNG_w5_p1,BNG,w5,p1,w5_p1,9,21/07/2016,July,53.23,-4.13,17,60,5.666666667,17,0.022397892,0.022397892
NEXT-TSHT-56,E08,BNG_w5_p2,BNG,w5,p2,w5_p2,10,25/07/2016,July,53.23,-4.13,159,64,2,6,0.007905138,0.007905138
NEXT-TSHT-41,D05,BNG_w6_p1,BNG,w6,p1,w6_p1,11,04/08/2016,August,53.23,-4.13,734,74,4.333333333,13,0.0171278,0.0171278
NEXT-TSHT-95,H11,BNG_w6_p2,BNG,w6,p2,w6_p2,12,08/08/2016,August,53.23,-4.13,882,78,1.333333333,4,0.005270092,0.005270092
NEXT-TSHT-69,F09,BNG_w7_p1,BNG,w7,p1,w7_p1,13,22/08/2016,August,53.23,-4.13,706,92,3.333333333,10,0.013175231,0.013175231
NEXT-TSHT-13,B01,BNG_w7_p2,BNG,w7,p2,w7_p2,14,26/08/2016,August,53.23,-4.13,426,96,2.333333333,7,0.009222661,0.009222661
NEXT-TSHT-16,B04,EXE_w1_p1,EXE,w1,p1,w1_p1,1,02/06/2016,June,50.7365,-3.5322,530,12,63,189,0.249011858,0.249011858
NEXT-TSHT-42,D06,EXE_w1_p2,EXE,w1,p2,w1_p2,2,06/06/2016,June,50.7365,-3.5322,537,16,139.3333333,418,0.550724638,0.550724638
NEXT-TSHT-68,F08,EXE_w2_p1,EXE,w2,p1,w2_p1,3,16/06/2016,June,50.7365,-3.5322,877,26,126,378,0.498023715,0.498023715
NEXT-TSHT-73,G01,EXE_w2_p2,EXE,w2,p2,w2_p2,4,20/06/2016,June,50.7365,-3.5322,863,30,124.6666667,374,0.492753623,0.492753623
NEXT-TSHT-83,G11,EXE_w3_p1,EXE,w3,p1,w3_p1,5,01/07/2016,July,50.7365,-3.5322,1669,41,52.33333333,157,0.20685112,0.20685112
NEXT-TSHT-33,C09,EXE_w3_p2,EXE,w3,p2,w3_p2,6,04/07/2016,July,50.7365,-3.5322,923,44,61.33333333,184,0.242424242,0.242424242
NEXT-TSHT-14,B02,EXE_w4_p1,EXE,w4,p1,w4_p1,7,14/07/2016,July,50.7365,-3.5322,2217,54,56,168,0.221343874,0.221343874
NEXT-TSHT-10,A10,EXE_w4_p2,EXE,w4,p2,w4_p2,8,17/07/2016,July,50.7365,-3.5322,1583,57,21.66666667,65,0.085638999,0.085638999
NEXT-TSHT-8,A08,EXE_w5_p1,EXE,w5,p1,w5_p1,9,29/07/2016,July,50.7365,-3.5322,1427,69,7,21,0.027667984,0.027667984
NEXT-TSHT-57,E09,EXE_w5_p2,EXE,w5,p2,w5_p2,10,01/08/2016,August,50.7365,-3.5322,972,72,2.666666667,8,0.010540184,0.010540184
NEXT-TSHT-19,B07,EXE_w6_p1,EXE,w6,p1,w6_p1,11,11/08/2016,August,50.7365,-3.5322,24,82,2.333333333,7,0.009222661,0.009222661
NEXT-TSHT-38,D02,EXE_w6_p2,EXE,w6,p2,w6_p2,12,14/08/2016,August,50.7365,-3.5322,245,85,3.333333333,10,0.013175231,0.013175231
NEXT-TSHT-92,H08,EXE_w7_p1,EXE,w7,p1,w7_p1,13,25/08/2016,August,50.7365,-3.5322,689,96,3,9,0.011857708,0.011857708
NEXT-TSHT-65,F05,EXE_w7_p2,EXE,w7,p2,w7_p2,14,28/08/2016,August,50.7365,-3.5322,797,99,0.666666667,2,0.002635046,0.002635046
NEXT-TSHT-21,B09,ING_w1_p1,ING,w1,p1,w1_p1,1,30/05/2016,May,56.457558,-3.068737,285,7,2,6,0.007905138,0.007905138
